,Name,Status,Link,Speakers,Glottocode,Country
0,'Are'are,Endangered/unsafe,https://en.wal.unesco.org/,N/A,N/A,N/A
1,'Are'are,Endangered/unsafe,https://en.wal.unesco.org/languages/areare,99999,area1240,N/A
2,!Gã!ne,Not in use,https://en.wal.unesco.org/languages/gane-0,0,N/A,N/A
3,Aari,Potentially vulnerable,https://en.wal.unesco.org/languages/aari,999999,aari1239,N/A
4,Aasax,Not in use,https://en.wal.unesco.org/languages/aasax,0,aasa1238,N/A
5,Abadi,Endangered/unsafe,https://en.wal.unesco.org/languages/abadi,9999,abad1241,N/A
6,Abaga,Critically endangered,https://en.wal.unesco.org/languages/abaga,9,abag1245,N/A
7,Abai Sungai,Definitely endangered,https://en.wal.unesco.org/languages/abai-sungai,999,abai1240,N/A
8,Abai Tubu-Abai Sembuak,Endangered/unsafe,https://en.wal.unesco.org/languages/abai-tubu-abai-sembuak,N/A,abai1241,N/A
9,Abanyom,Endangered/unsafe,https://en.wal.unesco.org/languages/abanyom,99999,aban1242,N/A
10,Abau,Definitely endangered,https://en.wal.unesco.org/languages/abau,9999,abau1245,N/A
11,Abawiri,Definitely endangered,https://en.wal.unesco.org/languages/abawiri,999,foau1240,N/A
12,Abaza,Endangered/unsafe,https://en.wal.unesco.org/languages/abaza,99999,abaz1241,Russian Federation
13,Abé,Potentially vulnerable,https://en.wal.unesco.org/languages/abe,999999,abee1242,N/A
14,Abenlen Ayta,Definitely endangered,https://en.wal.unesco.org/languages/abenlen-ayta,9999,aben1249,Philippines
15,Abidji,Endangered/unsafe,https://en.wal.unesco.org/languages/abidji,99999,abid1235,N/A
16,Abinomn,Definitely endangered,https://en.wal.unesco.org/languages/abinomn,999,abin1243,N/A
17,Abipon,Not in use,https://en.wal.unesco.org/languages/abipon,0,abip1241,N/A
18,Abkhaz,Potentially vulnerable,https://en.wal.unesco.org/languages/abkhaz,999999,abkh1244,Georgia
19,Abom,Critically endangered,https://en.wal.unesco.org/languages/abom,99,abom1238,N/A
20,Abon,Definitely endangered,https://en.wal.unesco.org/languages/abon,999,abon1238,N/A
21,Abron,Potentially vulnerable,https://en.wal.unesco.org/languages/abron,9999999,abro1238,N/A
22,Abu,Definitely endangered,https://en.wal.unesco.org/languages/abu,9999,abuu1241,N/A
23,Abu' Arapesh,Definitely endangered,https://en.wal.unesco.org/languages/abu-arapesh,9999,abua1245,N/A
24,Abua,Endangered/unsafe,https://en.wal.unesco.org/languages/abua,99999,abua1244,N/A
25,Abui,Definitely endangered,https://en.wal.unesco.org/languages/abui,99999,abui1241,N/A
26,Abun,Definitely endangered,https://en.wal.unesco.org/languages/abun,9999,abun1252,N/A
27,Abure,Endangered/unsafe,https://en.wal.unesco.org/languages/abure,99999,abur1243,N/A
28,Abureni,Endangered/unsafe,https://en.wal.unesco.org/languages/abureni,9999,abur1244,N/A
29,Acatepec Me'phaa,Endangered/unsafe,https://en.wal.unesco.org/languages/acatepec-mephaa,99999,acat1239,N/A
30,Acchami Nepali,Potentially vulnerable,https://en.wal.unesco.org/languages/acchami-nepali,999999,N/A,N/A
31,Acehnese,Definitely endangered,https://en.wal.unesco.org/,N/A,N/A,N/A
32,Acehnese,Definitely endangered,https://en.wal.unesco.org/languages/acehnese,9999999,achi1257,Indonesia
33,Achagua,Definitely endangered,https://en.wal.unesco.org/languages/achagua,999,acha1250,Colombia
34,Ache,Definitely endangered,https://en.wal.unesco.org/languages/ache,99999,ache1244,Paraguay
35,Aché,Severely endangered,https://en.wal.unesco.org/languages/ache-0,999,ache1246,N/A
36,Acheron,Endangered/unsafe,https://en.wal.unesco.org/languages/acheron,99999,ache1245,Sudan
37,Achi,Endangered/unsafe,https://en.wal.unesco.org/languages/achi,99999,achi1256,N/A
38,Achuar-Shiwiar,Definitely endangered,https://en.wal.unesco.org/languages/achuar-shiwiar,9999,achu1248,Ecuador
39,Achumawi,Critically endangered,https://en.wal.unesco.org/languages/achumawi,9999,achu1247,N/A
40,Acoli,Potentially vulnerable,https://en.wal.unesco.org/languages/acoli,9999999,acol1236,South Sudan
41,Acroá,Not in use,https://en.wal.unesco.org/languages/acroa,0,acro1239,N/A
42,Adabe,Endangered/unsafe,https://en.wal.unesco.org/languages/adabe,999,adab1235,N/A
43,Adai,Not in use,https://en.wal.unesco.org/languages/adai,0,adai1235,N/A
44,Adamawa Fulfulde,Potentially vulnerable,https://en.wal.unesco.org/languages/adamawa-fulfulde,999999,adam1253,Sudan
45,Adamorobe Sign Language,Definitely endangered,https://en.wal.unesco.org/languages/adamorobe-sign-language,9999,adam1238,N/A
46,Adang,Definitely endangered,https://en.wal.unesco.org/languages/adang,99999,adan1251,Indonesia
47,Adangbe,Definitely endangered,https://en.wal.unesco.org/languages/adangbe,9999,adan1248,N/A
48,Adangme,Potentially vulnerable,https://en.wal.unesco.org/languages/adangme,999999,adan1247,N/A
49,Adasen,Definitely endangered,https://en.wal.unesco.org/languages/adasen,9999,adas1235,N/A
50,Adele,Endangered/unsafe,https://en.wal.unesco.org/languages/adele,99999,adel1244,N/A
51,Adhari (Old Azeri),Not in use,https://en.wal.unesco.org/languages/adhari-old-azeri,0,N/A,N/A
52,Adhola,Potentially vulnerable,https://en.wal.unesco.org/languages/adhola,999999,adho1243,N/A
53,Adioukrou,Endangered/unsafe,https://en.wal.unesco.org/languages/adioukrou,99999,adio1239,N/A
54,Adiwasi Garasia,Endangered/unsafe,https://en.wal.unesco.org/languages/adiwasi-garasia,99999,adiw1235,N/A
55,Adnyamathanha,Definitely endangered,https://en.wal.unesco.org/languages/adnyamathanha,99,adny1235,N/A
56,Adonara,Endangered/unsafe,https://en.wal.unesco.org/languages/adonara,99999,adon1237,N/A
57,Aduge,Definitely endangered,https://en.wal.unesco.org/languages/aduge,9999,adug1238,N/A
58,Adyghe,Endangered/unsafe,https://en.wal.unesco.org/languages/adyghe,99999,adyg1241,Russian Federation
59,Adzera,Endangered/unsafe,https://en.wal.unesco.org/languages/adzera,99999,adze1240,N/A
60,Aeka,Endangered/unsafe,https://en.wal.unesco.org/languages/aeka,999,aeka1244,N/A
61,Aekyom,Endangered/unsafe,https://en.wal.unesco.org/languages/aekyom,9999,aeky1238,N/A
62,Aer,Definitely endangered,https://en.wal.unesco.org/,N/A,N/A,N/A
63,Aer,Definitely endangered,https://en.wal.unesco.org/languages/aer,999,aerr1238,Pakistan
64,Aewa,Not in use,https://en.wal.unesco.org/languages/aewa,0,abis1238,N/A
65,Afade,Definitely endangered,https://en.wal.unesco.org/languages/afade,99999,afad1236,Cameroon
66,Afar,Potentially vulnerable,https://en.wal.unesco.org/languages/afar,9999999,afar1241,N/A
67,Afghan Sign Language,Endangered/unsafe,https://en.wal.unesco.org/languages/afghan-sign-language,999,afgh1239,N/A
68,Afghanistan Gorbat,Unknown,https://en.wal.unesco.org/languages/afghanistan-gorbat,N/A,afgh1240,N/A
69,Afitti,Definitely endangered,https://en.wal.unesco.org/languages/afitti,999,afit1238,Sudan
70,Afrikaans,Potentially vulnerable,https://en.wal.unesco.org/languages/afrikaans,999999999,afri1274,N/A
