Name_x,Status,Link,Speakers,Glottocode,Country,Top-level family,ISO-639-3,Macroarea,Child dialects,Latitude,Longtitude
Aari,Potentially vulnerable,https://en.wal.unesco.org/languages/aari,999999.0,aari1239,,South Omotic,aiw,Africa,0.0,5.95,36.57
Aasax,Not in use,https://en.wal.unesco.org/languages/aasax,0.0,aasa1238,,Afro-Asiatic,aas,Africa,0.0,-4.01,36.86
Abadi,Endangered/unsafe,https://en.wal.unesco.org/languages/abadi,9999.0,abad1241,,Austronesian,kbt,Papunesia,0.0,-9.03,146.99
Abaga,Critically endangered,https://en.wal.unesco.org/languages/abaga,9.0,abag1245,,Nuclear Trans New Guinea,abg,Papunesia,0.0,-6.12,145.66
Abai Sungai,Definitely endangered,https://en.wal.unesco.org/languages/abai-sungai,999.0,abai1240,,Austronesian,abf,Papunesia,0.0,5.55,118.31
Abai Tubu-Abai Sembuak,Endangered/unsafe,https://en.wal.unesco.org/languages/abai-tubu-abai-sembuak,,abai1241,,Austronesian,,Papunesia,0.0,3.52,116.16
Abanyom,Endangered/unsafe,https://en.wal.unesco.org/languages/abanyom,99999.0,aban1242,,Atlantic-Congo,abm,Africa,0.0,6.31,8.63
Mungbam,Definitely endangered,https://en.wal.unesco.org/languages/mungbam,9999.0,abar1238,Cameroon,Atlantic-Congo,mij,Africa,6.0,6.58,10.23
Abau,Definitely endangered,https://en.wal.unesco.org/languages/abau,9999.0,abau1245,,Sepik,aau,Papunesia,0.0,-3.97,141.32
Abaza,Endangered/unsafe,https://en.wal.unesco.org/languages/abaza,99999.0,abaz1241,Russian Federation,Abkhaz-Adyge,abq,Eurasia,3.0,44.25,42.0
Abé,Potentially vulnerable,https://en.wal.unesco.org/languages/abe,999999.0,abee1242,,Atlantic-Congo,aba,Africa,4.0,5.6,-4.38
Abenlen Ayta,Definitely endangered,https://en.wal.unesco.org/languages/abenlen-ayta,9999.0,aben1249,Philippines,Austronesian,abp,Papunesia,0.0,15.41,120.2
